time,index,code,name,longitude,latitude,data
2018-11-06 01:00:00,121,AIROL,Airole,7.545,43.873,0.400
2018-11-06 01:00:00,841,ALASS,Alassio,8.169,44.006,3.600
2018-11-06 01:00:00,1561,ALPIC,Alpicella,8.526,44.407,6.800
2018-11-06 01:00:00,2281,ALTOM,Alto - Madonna del lago,7.997,44.123,0.000
2018-11-06 01:00:00,2972,BARGO,Bargone,9.481,44.295,0.000
2018-11-06 01:00:00,3692,BELEN,Colle Belenda,7.700,43.982,0.000
2018-11-06 01:00:00,4412,BESTA,Bestagno,8.001,43.933,1.600
2018-11-06 01:00:00,5132,BMARO,Borgomaro,7.953,43.977,0.000
2018-11-06 01:00:00,5852,BOLSN,Bolsine,8.573,44.372,4.800
2018-11-06 01:00:00,6572,BRZON,Borzone,9.410,44.424,0.000
2018-11-06 01:00:00,7292,CALGR,Calice Ligure - Ca Rosse,8.302,44.196,0.000
2018-11-06 01:00:00,8012,CAMOG,Camogli,9.159,44.347,0.000
2018-11-06 01:00:00,8732,CAMPL,Campo Ligure,8.694,44.543,2.200
2018-11-06 01:00:00,9452,CARPG,Carpe - Case Garoni,8.163,44.144,20.200
2018-11-06 01:00:00,10172,CARRO,Carro,9.598,44.275,0.000
2018-11-06 01:00:00,10892,CASON,Casoni di Suvero,9.766,44.305,0.000
2018-11-06 01:00:00,11612,CASRB,Castelvecchio di R. B.,8.119,44.132,3.800
2018-11-06 01:00:00,12332,CCADB,Colle di Cadibona,8.383,44.333,1.200
2018-11-06 01:00:00,13052,CCHER,Cichero,9.322,44.421,0.000
2018-11-06 01:00:00,13772,CCORM,Calice al C. - Molunghi,9.840,44.250,0.200
2018-11-06 01:00:00,14492,CEMBR,Cembrano,9.584,44.352,0.000
2018-11-06 01:00:00,15212,CERIA,Ceriana,7.774,43.880,0.400
2018-11-06 01:00:00,15932,CFUNZ,Genova - Centro Funzionale,8.946,44.400,0.200
2018-11-06 01:00:00,16651,CHIRI,Chiavari,9.330,44.319,0.000
2018-11-06 01:00:00,17371,CLROS,Colla Rossa,7.543,43.831,1.000
2018-11-06 01:00:00,18091,CMELO,Colle del Melogno,8.202,44.232,0.600
2018-11-06 01:00:00,18811,CNAVA,Colle di Nava,7.873,44.083,0.000
2018-11-06 01:00:00,19531,CODOG,Colle D'oggia,7.867,43.981,1.200
2018-11-06 01:00:00,20251,CONNA,Conna,8.104,43.979,3.800
2018-11-06 01:00:00,20971,CRAIN,Cipressa,7.929,43.853,0.400
2018-11-06 01:00:00,21691,CRETO,Creto,9.007,44.475,0.000
2018-11-06 01:00:00,22411,CRORE,Crocetta di Orero,8.986,44.520,0.000
2018-11-06 01:00:00,23131,CUCCA,Cuccarello,9.699,44.350,0.000
2018-11-06 01:00:00,23834,DAVAG,Davagna,9.095,44.468,0.200
2018-11-06 01:00:00,24554,DOLCE,Dolcedo,7.952,43.906,1.800
2018-11-06 01:00:00,25274,ELLRA,Ellera - Foglietto,8.467,44.366,0.800
2018-11-06 01:00:00,27103,FFRES,Fontana Fresca,9.093,44.403,0.000
2018-11-06 01:00:00,27823,FIORI,Fiorino,8.705,44.465,5.400
2018-11-06 01:00:00,28543,FRAMU,Framura,9.540,44.214,0.000
2018-11-06 01:00:00,29263,GEBOL,Genova - Bolzaneto,8.896,44.455,0.800
2018-11-06 01:00:00,29983,GEFIU,Genova - Fiumara,8.884,44.411,0.600
2018-11-06 01:00:00,30691,GEGEI,Genova - Geirato,8.980,44.460,0.000
2018-11-06 01:00:00,31411,GEPCA,Genova - Gavette,8.961,44.434,0.000
2018-11-06 01:00:00,32131,GEPEG,Genova - Pegli,8.825,44.432,1.000
2018-11-06 01:00:00,32851,GEPTX,Genova - Pontedecimo,8.900,44.489,0.200
2018-11-06 01:00:00,33571,GEQUE,Genova - Quezzi,8.973,44.424,0.200
2018-11-06 01:00:00,34291,GIACO,Giacopiane - Lago,9.388,44.461,0.000
2018-11-06 01:00:00,35011,GOUTA,Sella di Gouta,7.608,43.940,0.200
2018-11-06 01:00:00,35626,IMPER,Imperia - Oss. Meteosismico,8.017,43.880,3.200
2018-11-06 01:00:00,36346,INASV,Savona - Istituto Nautico,8.483,44.306,0.400
2018-11-06 01:00:00,37066,ISBLL,Albenga - Isolabella,8.180,44.069,1.200
2018-11-06 01:00:00,37786,ISOVE,Isoverde,8.858,44.530,0.400
2018-11-06 01:00:00,38506,LAPRS,La Presa,9.047,44.441,0.200
2018-11-06 01:00:00,39226,LAVAG,Lavagnola,8.480,44.335,1.200
2018-11-06 01:00:00,39946,LERCA,Lerca,8.648,44.404,1.600
2018-11-06 01:00:00,40666,LEVAN,Levanto,9.607,44.171,0.000
2018-11-06 01:00:00,41386,LFMTV,La Foce - Mte Viseggi,9.790,44.133,0.200
2018-11-06 01:00:00,42106,LGIAC,Giacopiane - Diga,9.395,44.463,0.000
2018-11-06 01:00:00,42826,LOCOC,Loco Carchelli,9.284,44.554,0.000
2018-11-06 01:00:00,43546,MADGR,Madonna delle Grazie,8.743,44.433,3.000
2018-11-06 01:00:00,44266,MANIE,Manie,8.379,44.193,0.000
2018-11-06 01:00:00,44986,MARIN,Marinella di Sarzana,10.014,44.050,0.000
2018-11-06 01:00:00,45706,MATRA,Mattarana,9.615,44.245,0.200
2018-11-06 01:00:00,46426,MELEE,Mele,8.733,44.474,3.200
2018-11-06 01:00:00,47146,MGAZZ,Santuario Monte Gazzo,8.845,44.442,1.000
2018-11-06 01:00:00,47865,MIGNA,Mignanego,8.938,44.540,0.000
2018-11-06 01:00:00,48585,MMAUR,Monte Maure,7.619,43.793,2.800
2018-11-06 01:00:00,49305,MOBRA,Albenga - Molino Branca,8.211,44.049,0.400
2018-11-06 01:00:00,50025,MONTA,Montagna,8.371,44.284,0.000
2018-11-06 01:00:00,50745,MOPEN,Monte Pennello,8.799,44.480,2.800
2018-11-06 01:00:00,51465,MROCC,Monte Rocchetta,9.938,44.071,0.000
2018-11-06 01:00:00,52185,MROSS,Monterosso,9.640,44.148,0.000
2018-11-06 01:00:00,52905,MTECA,Monte Cappellino,8.954,44.549,0.000
2018-11-06 01:00:00,53625,OGNIO,Ognio,9.170,44.444,0.200
2018-11-06 01:00:00,54345,ONZPO,Onzo - Ponterotto,8.041,44.057,0.000
2018-11-06 01:00:00,55065,ORERO,Croce Orero,9.285,44.424,0.200
2018-11-06 01:00:00,55785,PANES,Panesi,9.356,44.342,0.000
2018-11-06 01:00:00,56505,PDVRM,Padivarma,9.771,44.195,0.200
2018-11-06 01:00:00,57225,PFEAR,Poggio Fearza,7.793,44.042,0.000
2018-11-06 01:00:00,57945,PIGNO,Casale di Pignone,9.715,44.190,0.000
2018-11-06 01:00:00,58665,PRAIC,Prai,8.673,44.518,3.800
2018-11-06 01:00:00,59385,PREMA,Premanico,9.009,44.417,0.000
2018-11-06 01:00:00,60105,PRMLO,Pratomollo,9.459,44.473,0.800
2018-11-06 01:00:00,60781,PRTTI,Pian dei Ratti,9.271,44.394,0.200
2018-11-06 01:00:00,61501,PTECO,Pieve di Teco,7.915,44.050,0.000
2018-11-06 01:00:00,62221,PTURC,Passo del Turchino,8.736,44.486,2.200
2018-11-06 01:00:00,62916,PVENE,Portovenere - Comune,9.836,44.052,0.000
2018-11-06 01:00:00,63636,PZGLI,Pizzeglio,7.695,43.919,0.200
2018-11-06 01:00:00,64356,RAPAL,Rapallo,9.209,44.355,0.000
2018-11-06 01:00:00,65076,REPPI,Reppia,9.458,44.375,0.200
2018-11-06 01:00:00,65796,RICCO,Ricco' del Golfo,9.764,44.153,0.200
2018-11-06 01:00:00,66516,RIGHI,Genova - Castellaccio,8.934,44.428,0.200
2018-11-06 01:00:00,67236,ROCNE,Rocchetta Nervina,7.602,43.889,0.800
2018-11-06 01:00:00,67956,SALBE,Bargagli,9.107,44.438,0.200
2018-11-06 01:00:00,68676,SANDA,Sanda,8.527,44.362,1.000
2018-11-06 01:00:00,69396,SANTU,Santuario di Savona,8.438,44.346,0.400
2018-11-06 01:00:00,70116,SCIAR,Sciarborasca,8.625,44.406,3.400
2018-11-06 01:00:00,70836,SCURT,Scurtabo',9.534,44.407,0.200
2018-11-06 01:00:00,71556,SEBOR,Seborga,7.699,43.828,0.400
2018-11-06 01:00:00,72276,SEGIA,Sella Giassina,9.182,44.488,0.000
2018-11-06 01:00:00,72995,SEGOD,Sesta Godano,9.678,44.298,0.000
2018-11-06 01:00:00,73715,SMVAR,S. Margherita Vara,9.660,44.275,0.000
2018-11-06 01:00:00,74435,SPZIA,La Spezia,9.828,44.107,0.000
2018-11-06 01:00:00,75155,SRZAN,Sarzana,9.965,44.112,0.000
2018-11-06 01:00:00,75875,SSGIU,Stella S. Giustina,8.483,44.416,2.800
2018-11-06 01:00:00,76595,STALE,Statale,9.481,44.350,0.000
2018-11-06 01:00:00,77315,SZIGN,Sero' di Zignago,9.737,44.264,0.000
2018-11-06 01:00:00,78035,TAVRN,Tavarone,9.549,44.313,0.200
2018-11-06 01:00:00,78755,TESTI,Testico,8.035,44.007,1.200
2018-11-06 01:00:00,79475,TRIOR,Triora,7.762,43.995,0.200
2018-11-06 01:00:00,80195,URVAS,Urbe - Vara Sup.,8.627,44.470,5.200
2018-11-06 01:00:00,80898,VALIG,Varese Ligure,9.584,44.383,0.200
2018-11-06 01:00:00,81618,VALZE,Valzemola,8.191,44.370,2.400
2018-11-06 01:00:00,82338,VERDE,Verdeggia,7.721,44.044,0.200
2018-11-06 01:00:00,83058,VERZI,Verzi Loano,8.220,44.164,0.200
2018-11-06 01:00:00,83778,VICOM,Vicomorasso,8.978,44.486,0.000
2018-11-06 01:00:00,84464,VIGAN,Viganego,9.063,44.428,0.200
2018-11-06 01:00:00,85184,VREGI,Valleregia,8.947,44.520,0.000
2018-11-06 01:00:00,85904,XXMIG,Ventimiglia,7.612,43.788,2.600
